"","name","price","ratings","reviews"
"1","TITIROBA Low Table, Folding Mini Table, Width 29.5 inches (75 cm), Height 12.6 inches (32 cm), Stylish, No Assembly Required, Small, Compact, White, Chabu Table, Durable, Children's Desk, Single Life,","$99.16","4.5 out of 5 stars.","13"
"2","TITIROBA Low Table, Folding Mini Table, Width 35.4 inches (90 cm), Height 12.6 inches (32 cm), Stylish, No Assembly Required, Small, Mini, Compact, Oak, Chabu Table, Durable, Children's Desk, Single","$125.17","4.5 out of 5 stars.","7"
"3","TITIROBA Low Table, Folding Mini Table, Width 35.4 inches (90 cm), Height 12.6 inches (32 cm), Stylish, No Assembly Required, Small, Compact, White, Chabu Table, Durable, Children's Desk, Single Life,","$119.01","4.5 out of 5 stars.","7"
"4","TITIROBA Low Table, Folding Mini Table, Width 35.4 inches (90 cm), Height 12.6 inches (32 cm), Stylish, No Assembly Required, Small, Mini, Compact, Brown, Chabu Table, Durable, Children's Desk, Single","$119.74","3.8 out of 5 stars","415"
"5","Takeda Corporation FT20-6040 (VBR) Vintage Style 2-Way Aluminum Table, 23.6 inches (60 cm), Vintage Brown, 23.6 x 15.7 inches (60 x 40 mm)","$67.61","3.9 out of 5 stars","2"
"6","Flash Furniture 31.5'' Round Glass Table with 29''H Chrome Base","$338.86","3.7 out of 5 stars","88"
"7","EZONEDEAL Desk Stand Table with Cooling Fan, Foldable Adjustable Aluminum Portable Laptop Stand Work Study Tv Effective Solutions Light Weight Ergonomic Bed Lap Tray Flexible Portable Reading Holder for Couch/Bed/Floor, with Vented w/CPU Fans Side-Mount Mouse Pad (Pink)","$143.20","4.2 out of 5 stars","683"
"8","2 Turntables and a Microphone: The Life and Death of Jam Master Jay","$610.24","2.0 out of 5 stars","13"
"9","Skini NA150 Night Table","$93.79","4.1 out of 5 stars",NA
"10","[Authentic French Bed Product] 35013005 Night Table Esprit Oak (ESO) Color, Width 18.5 x Depth 17.3 x Height 19.3-24.8 inches (47 x 44 x 49-63 cm), Up-Down Night Table, Top Plate Height Lowers","$117.84","4.6 out of 5 stars",NA
"11","Iris Plaza STB-C001 Side Table, Adjuster with Casters, U-Shaped Design, Wood Grain, Width 11.8 x Depth 17.7 x Height 23.6 inches (30 x 45 x 60 cm), White Wash","$130.92","3.8 out of 5 stars",NA
"12","Project Center, Kids Craft Table with Bench in Purple/Spatter Gray 55127","$181.74","4 Stars & Up",NA
"13","VECELO Side Table for Living Room S-Shaped Endtable with Storage Shelf, Easy Assembly, Set of 1, Retro Oak","$165.87","3 Stars & Up",NA
"14","Osmac SCY-2168M4CBO Side Table with Casters, Height 25.2-38.8 inches (64-98.5 cm), Foldable, Adjustable Height, Adjustable Height, Brown Oak","$167.25","2 Stars & Up",NA
"15","Side Table with Double-Sided Storage LT-223DBR","$44.24","1 Star & Up",NA
"16","Side Table with Double-Sided Storage LT-223 NA",NA,NA,NA
"17","TOP E SHOP Topeshop S2 Sonoma Nightstand/Bedside Table 2 Drawer(s) Oak",NA,NA,NA
"18","Takeda Corporation LT20-4023 Wood Style Light Table, 1.6 x 0.9 x 6.1 inches (40 x 23 x 15.5 cm)",NA,NA,NA
"19",NA,NA,NA,NA
"20",NA,NA,NA,NA
"21",NA,NA,NA,NA
"22",NA,NA,NA,NA
"23",NA,NA,NA,NA
"24",NA,NA,NA,NA
"25",NA,NA,NA,NA
"26",NA,NA,NA,NA
"27",NA,NA,NA,NA
"28",NA,NA,NA,NA
"29",NA,NA,NA,NA
"30",NA,NA,NA,NA
"31",NA,NA,NA,NA
"32",NA,NA,NA,NA
"33",NA,NA,NA,NA
"34",NA,NA,NA,NA
"35",NA,NA,NA,NA
"36",NA,NA,NA,NA
"37",NA,NA,NA,NA
"38",NA,NA,NA,NA
"39",NA,NA,NA,NA
"40",NA,NA,NA,NA
"41",NA,NA,NA,NA
"42",NA,NA,NA,NA
"43",NA,NA,NA,NA
"44",NA,NA,NA,NA
"45",NA,NA,NA,NA
